2022-11-02 09:59:27.071 [Thread-1] INFO   - 1 915 ms
2022-11-02 09:59:27.071 [Thread-1] INFO   - 1 915 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 915 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-1] INFO   - 1 916 ms
2022-11-02 09:59:27.072 [Thread-1] INFO   - 1 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-1] INFO   - 1 916 ms
2022-11-02 09:59:27.072 [Thread-1] INFO   - 1 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.072 [Thread-2] INFO   - 2 916 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 916 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-2] INFO   - 2 917 ms
2022-11-02 09:59:27.073 [Thread-2] INFO   - 2 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-2] INFO   - 2 917 ms
2022-11-02 09:59:27.073 [Thread-2] INFO   - 2 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-2] INFO   - 2 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.073 [Thread-1] INFO   - 1 917 ms
2022-11-02 09:59:27.074 [Thread-1] INFO   - 1 918 ms
2022-11-02 09:59:27.074 [Thread-2] INFO   - 2 918 ms
2022-11-02 09:59:27.074 [Thread-2] INFO   - 2 918 ms
2022-11-02 09:59:27.074 [Thread-1] INFO   - 1 918 ms
2022-11-02 09:59:27.074 [Thread-1] INFO   - 1 918 ms
2022-11-02 09:59:27.074 [Thread-2] INFO   - 2 918 ms
2022-11-02 09:59:27.074 [Thread-2] INFO   - 2 918 ms
2022-11-02 09:59:27.074 [Thread-1] INFO   - 1 918 ms
2022-11-02 09:59:27.075 [Thread-1] INFO   - 1 918 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.075 [Thread-1] INFO   - 1 919 ms
2022-11-02 09:59:27.075 [Thread-1] INFO   - 1 919 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.075 [Thread-1] INFO   - 1 919 ms
2022-11-02 09:59:27.075 [Thread-1] INFO   - 1 919 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.075 [Thread-2] INFO   - 2 919 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 919 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-2] INFO   - 2 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.076 [Thread-1] INFO   - 1 920 ms
2022-11-02 09:59:27.077 [Thread-2] INFO   - 2 920 ms
2022-11-02 09:59:27.077 [Thread-2] INFO   - 2 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.077 [Thread-2] INFO   - 2 921 ms
2022-11-02 09:59:27.077 [Thread-2] INFO   - 2 921 ms
2022-11-02 09:59:27.077 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 921 ms
2022-11-02 09:59:27.078 [Thread-2] INFO   - 2 922 ms
2022-11-02 09:59:27.078 [Thread-2] INFO   - 2 922 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
2022-11-02 09:59:27.078 [Thread-2] INFO   - 2 922 ms
2022-11-02 09:59:27.078 [Thread-2] INFO   - 2 922 ms
2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
